Потребность / Услуга,Озеленение придомовых территорий,Восстановление и уход,Подбор и продажа растений,Ландшафтный дизайн,Услуги садовника
Вопрос 1: Текущая ситуация,,,,,
"У меня пока нет озеленения, хочу сделать с нуля",TRUE,FALSE,FALSE,TRUE,FALSE
"Есть растения, но они выглядят плохо / требуют восстановления",FALSE,TRUE,FALSE,FALSE,FALSE
"Есть растения, но нужна помощь с уходом",TRUE,FALSE,FALSE,FALSE,TRUE
Хочу подобрать и купить новые растения,FALSE,FALSE,TRUE,FALSE,FALSE
Вопрос 2: Какой нужен результат,,,,,
Полностью продуманное и оформленное пространство,TRUE,FALSE,FALSE,TRUE,FALSE
Вернуть растениям здоровый и красивый вид,FALSE,TRUE,FALSE,FALSE,FALSE
Поддерживать ухоженный вид без лишних усилий,TRUE,FALSE,FALSE,FALSE,TRUE
Просто выбрать подходящие растения под условия,FALSE,FALSE,TRUE,FALSE,FALSE
Вопрос 3: Готовы ли вы заниматься уходом самостоятельно?,,,,,
"Нет, хочу полностью делегировать уход",FALSE,TRUE,FALSE,TRUE,TRUE
Частично — нужен контроль и помощь специалиста,TRUE,TRUE,TRUE,TRUE,FALSE
"Да, но нужны рекомендации",TRUE,FALSE,TRUE,TRUE,FALSE
Пока не знаю / зависит от сложности,FALSE,FALSE,TRUE,TRUE,FALSE
